tweet_id,timestamp_utc,content,like_count,retweet_count,reply_count,hashtags,mentions,url,query
2011122553725849742,2026-01-13T17:05:56.000Z,#Nifty50 #TradeDeal,1,0,0,"#Nifty50,#TradeDeal",,https://x.com/shivsha12990151/status/2011122553725849742,combined
2011122325819969903,2026-01-13T17:05:01.000Z,"#Intraday Action in #Crypto Segments on 13 - 01 - 26

 #BTCUSDT
 #Ethererum
 #Dogecoin
 #Toncoin

#SMALLCAP #TradingTips #GOLD #SILVER #BITCOIN  #TradingStrategy #StocksInFocus #DRREDDY #VODAIDEA #GUJGAS #IGL #NCC #ITC #DRREDDY #HUDCO #IREDA #Reliance #RBLBANK #NBCC",1,0,0,"#Intraday,#Crypto,#BTCUSDT,#Ethererum,#Dogecoin,#Toncoin,#SMALLCAP,#TradingTips,#GOLD,#SILVER,#BITCOIN,#TradingStrategy,#StocksInFocus,#DRREDDY,#VODAIDEA,#GUJGAS,#IGL,#NCC,#ITC,#DRREDDY,#HUDCO,#IREDA,#Reliance,#RBLBANK,#NBCC",,https://x.com/thestocksmania/status/2011122325819969903,combined
2011122083976356190,2026-01-13T17:04:04.000Z,"#Reliance 1452

Nearing the end of its correction, this is running in sync with HDFC.

#Nifty #Nifty50 #niftyOptions #NiftyBank #Nifty500 #NiftyMidcap #NIFTYFUTURE #TradingSignal #StockMarketIndia #stockmarketcrash #stockmarketsindia #StocksInFocus #BreakoutStock",1,1,0,"#Reliance,#Nifty,#Nifty50,#niftyOptions,#NiftyBank,#Nifty500,#NiftyMidcap,#NIFTYFUTURE,#TradingSignal,#StockMarketIndia,#stockmarketcrash,#stockmarketsindia,#StocksInFocus,#BreakoutStock",,https://x.com/carahuljain93/status/2011122083976356190,combined
2011121949913842149,2026-01-13T17:03:32.000Z,"Top 7 stocks for tomorrow 
14/01/2026

. CCL PRODUCT 
. LT FOODS
 . MRPL
. MANNAPURAM 
. OIL INDIA 
. PVR INOX
. SIEMENS ENERGY 

#NIFTY
#BANKNIFTY
#StockMarketIndia
#OptionsTrading
#StocksToWatch 
#StockslnFocus",0,0,0,"#NIFTY,#BANKNIFTY,#StockMarketIndia,#OptionsTrading,#StocksToWatch,#StockslnFocus",,https://x.com/voltricsX/status/2011121949913842149,combined
2011119129647038795,2026-01-13T16:52:19.000Z,"#Nifty Plan for Tomorrow 
CMP ~ 25,714
Market is at a decision zone after a sharp drop & bounce attempt.
Intraday structure is still weak, but support is strong — levels will decide the next move.
#Nifty50 #OptionsTrading",1,1,1,"#Nifty,#Nifty50,#OptionsTrading",,https://x.com/StockAnalyst007/status/2011119129647038795,combined
2011118817532092521,2026-01-13T16:51:05.000Z,"Nifty 50 14 Jan Analysis 
#Nifty #Nifty50",1,0,0,"#Nifty,#Nifty50",,https://x.com/ankityadavreal/status/2011118817532092521,combined
2011118553592983942,2026-01-13T16:50:02.000Z,"Tomorrow’s Rubio kit is ready to make #Sensex sore again.

Bhalu kal phir marega. RIP",3,0,0,#Sensex,,https://x.com/_JoshNeverStops/status/2011118553592983942,combined
2011118340367057379,2026-01-13T16:49:11.000Z,"Koi to good news dedo Trump chacha.
#SmallCaps #SME #Nifty50",0,0,0,"#SmallCaps,#SME,#Nifty50",,https://x.com/techieinequity/status/2011118340367057379,combined
2011117054380949865,2026-01-13T16:44:05.000Z,"#TCS 3268

It appears to have started its 5th towards 3500.

#Nifty #Nifty50 #niftyOptions #NiftyBank #NiftyMidcap #Nifty500 #NIFTYFUTURE #trading #TradingSignal #StocksToBuy #StocksInFocus #StocksToTrade #StockslnFocus #BreakoutStock",2,1,0,"#TCS,#Nifty,#Nifty50,#niftyOptions,#NiftyBank,#NiftyMidcap,#Nifty500,#NIFTYFUTURE,#trading,#TradingSignal,#StocksToBuy,#StocksInFocus,#StocksToTrade,#StockslnFocus,#BreakoutStock",,https://x.com/carahuljain93/status/2011117054380949865,combined
2011116789640638792,2026-01-13T16:43:02.000Z,"What is your outlook for the market tomorrow? 
#nifty #sensex #banknifty",0,0,0,"#nifty,#sensex,#banknifty",,https://x.com/its__karann__/status/2011116789640638792,combined
